,episode_no,ep_name,lines,season,ep,no_char,spacy_doc,clean_doc
31,"(5, 25)",Broke," we got the van at a used car lot. we think it says ""alleluia church of scranton."" in korean. it was either this or an old school bus with an owl living in it. you didn't happen to bring any coffee, did you, michael? oh, awesome. you're a life saver. [drinks from coffee cup] wait, is this just milk and sugar? do you drink this every day? [an asian lady tries to enter the van] oh, oh, excuse me! sorry. sorry, no. it's, uh, it's a paper company now. it's not for the church. why would i love that? can we afford a delivery guy? yeah, i know what a loft is. corporate greed? did it help? when a child gets behind the wheel of a car and runs into a tree, you don't blame the child. he didn't know any better. you blame the 30-year-old woman who got in the passenger seat and said, ""drive, kid. i trust you."" we have maybe a month. i don't know what i'm gonna do. that's what michael said. i like it. steve martin's not dead, michael. you want to hear something sad? so jim and i are getting married and the wedding's really expensive. so i tried to get a job on the weekends to earn extra money. i applied to old navy, target and wal-mart. none of 'em called me back. not even for an interview. really? seriously? are you being serious? yes. just to reiterate, none of us is going to say anything that might indicate that we are going broke. no, michael. we have to come from a position of strength. mm-hmm. $60,000. are you kidding me? can you give us another minute please? michael. why are you assuming you'd get the whole thing? no, michael's right. jobs are safer. agreed. but that's all, okay. thank you. that's right. alright!",5,25,1633," we got the van at a used car lot. we think it says ""alleluia church of scranton."" in korean. it was either this or an old school bus with an owl living in it. you didn't happen to bring any coffee, did you, michael? oh, awesome. you're a life saver. [drinks from coffee cup] wait, is this just milk and sugar? do you drink this every day? [an asian lady tries to enter the van] oh, oh, excuse me! sorry. sorry, no. it's, uh, it's a paper company now. it's not for the church. why would i love that? can we afford a delivery guy? yeah, i know what a loft is. corporate greed? did it help? when a child gets behind the wheel of a car and runs into a tree, you don't blame the child. he didn't know any better. you blame the 30-year-old woman who got in the passenger seat and said, ""drive, kid. i trust you."" we have maybe a month. i don't know what i'm gonna do. that's what michael said. i like it. steve martin's not dead, michael. you want to hear something sad? so jim and i are getting married and the wedding's really expensive. so i tried to get a job on the weekends to earn extra money. i applied to old navy, target and wal-mart. none of 'em called me back. not even for an interview. really? seriously? are you being serious? yes. just to reiterate, none of us is going to say anything that might indicate that we are going broke. no, michael. we have to come from a position of strength. mm-hmm. $60,000. are you kidding me? can you give us another minute please? michael. why are you assuming you'd get the whole thing? no, michael's right. jobs are safer. agreed. but that's all, okay. thank you. that's right. alright!",van car lot alleluia church scranton korean school bus owl coffee michael life saver drink coffee cup milk sugar day asian lady van paper company church delivery guy loft greed child wheel car tree child year woman passenger seat kid month michael steve martin michael jim wedding job weekend money navy target wal mart interview michael position strength mm hmm minute michael thing michael right job
32,"(5, 6)",Employee Transfer," hey. thanks. my costume's getting a lot of attention. [pam is dressed as charlie chaplin] so apparently no one dresses up for halloween here. i wish i had known that before i used greasepaint for my moustache. and i can't even take off my hat, because then i'm h*tler. hey! how are you tom. nice to see you. i asked tom and pete to come early so we could play a prank on jim at lunch! pretty awesome, right? i think they're into the idea. they're probably thinking, ""that pam beasly, she's the coolest sister-in-law on the planet. she's the best! the absolute best."" okay, so here's what i'm thinking. i'm gonna say that before ceramics class, i took off my ring, and then when i changed back out of my smock, it wasn't in my pocket anymore, and i lost it. so, not the ring then? the- the- not doing the ring? okay, okay. oookay.... they came up with that idea really fast. hey guys. hi! [smooches] yup! [tom and pete give halpertian looks to camera] cute. miles davis. chet ...something. dizzy gillespie. i don't know if i'm gonna make any money with art. i mean it's a very competitive field. but i have a professor who says i have a lot of promise, and if i don't try now, i never will. so... ... got you. for the record, i wanted go another direction. which was way better. okay. i lost my engagement ring in ceramics class. left it in my smock. i had this whole thing where i go back to class, wrongly accuse another girl. look i even used makeup to put a ring around my finger, you can hardly see it, it's very subtle. thank you. oh. hey how about at thanksgiving we prank tom about being bald?",5,6,1601," hey. thanks. my costume's getting a lot of attention. [pam is dressed as charlie chaplin] so apparently no one dresses up for halloween here. i wish i had known that before i used greasepaint for my moustache. and i can't even take off my hat, because then i'm h*tler. hey! how are you tom. nice to see you. i asked tom and pete to come early so we could play a prank on jim at lunch! pretty awesome, right? i think they're into the idea. they're probably thinking, ""that pam beasly, she's the coolest sister-in-law on the planet. she's the best! the absolute best."" okay, so here's what i'm thinking. i'm gonna say that before ceramics class, i took off my ring, and then when i changed back out of my smock, it wasn't in my pocket anymore, and i lost it. so, not the ring then? the- the- not doing the ring? okay, okay. oookay.... they came up with that idea really fast. hey guys. hi! [smooches] yup! [tom and pete give halpertian looks to camera] cute. miles davis. chet ...something. dizzy gillespie. i don't know if i'm gonna make any money with art. i mean it's a very competitive field. but i have a professor who says i have a lot of promise, and if i don't try now, i never will. so... ... got you. for the record, i wanted go another direction. which was way better. okay. i lost my engagement ring in ceramics class. left it in my smock. i had this whole thing where i go back to class, wrongly accuse another girl. look i even used makeup to put a ring around my finger, you can hardly see it, it's very subtle. thank you. oh. hey how about at thanksgiving we prank tom about being bald?",thank costume lot attention pam charlie chaplin dress halloween greasepaint moustache hat tom tom prank jim lunch idea pam sister law planet ceramic class ring smock pocket ring the- the- ring idea guy smooch tom pete halpertian look camera miles davis chet gillespie money art field professor lot promise record direction engagement ring ceramics class smock thing class girl makeup ring finger thanksgiving tom
33,"(5, 18)",Blood Drive," good morning, can i help you? i'm sorry, he's not in right now. sh**t. they have new phone systems now that can ring directly to a salesman, or someone presses star and they go to accounting, basically 95% of my job. but i'd like to see a machine that puts out candy for everyone. [realizing] vending machine. that is a great idea. [while leafing through michael's appointment book and seeing nothing but free time] um, oh boy, let's see, he's really... there he is! ayyyy! that was funny. this is our first and only valentine's day as fiances. really, jim? on cupid's birthday? i can't see them when they're on the floor you can't be a part of our relationship, michael. what do you think? we're in. anything to get out of that office. wow, that's impressive. what? jim uses a 6 pound ball. yes, he bowled 5 frames with this pink sparkly thing until a little girl had to ask for her ball back. no, you just have little dainty fingers. what's the rule about eating when people are in the bathroom? oh, damn. [pam looks down at her salad] they've been in there for like ten minutes. yes. and i think they gave him too many fries. [looking up from her pilfering of bob's food] what? well, you should cover it with the broccoli. do you think they dined and dashed? i thought we were having a nice time. yeah. [exiting the ladies' room] mine too. [pam and jim notice the handicapped stall and walk towards it. putting their ears to the door they hear mr. and mrs. vance being intimate] my god. yep, that, yeah.",5,18,1507," good morning, can i help you? i'm sorry, he's not in right now. sh**t. they have new phone systems now that can ring directly to a salesman, or someone presses star and they go to accounting, basically 95% of my job. but i'd like to see a machine that puts out candy for everyone. [realizing] vending machine. that is a great idea. [while leafing through michael's appointment book and seeing nothing but free time] um, oh boy, let's see, he's really... there he is! ayyyy! that was funny. this is our first and only valentine's day as fiances. really, jim? on cupid's birthday? i can't see them when they're on the floor you can't be a part of our relationship, michael. what do you think? we're in. anything to get out of that office. wow, that's impressive. what? jim uses a 6 pound ball. yes, he bowled 5 frames with this pink sparkly thing until a little girl had to ask for her ball back. no, you just have little dainty fingers. what's the rule about eating when people are in the bathroom? oh, damn. [pam looks down at her salad] they've been in there for like ten minutes. yes. and i think they gave him too many fries. [looking up from her pilfering of bob's food] what? well, you should cover it with the broccoli. do you think they dined and dashed? i thought we were having a nice time. yeah. [exiting the ladies' room] mine too. [pam and jim notice the handicapped stall and walk towards it. putting their ears to the door they hear mr. and mrs. vance being intimate] my god. yep, that, yeah.",morning sh**t phone system salesman star accounting job machine candy machine idea michael appointment book time boy valentine day fiance jim cupid birthday floor relationship michael office jim pound ball frame thing girl ball finger rule people bathroom pam salad minute fry pilfering bob food broccoli time lady room pam jim stall ear door mr mrs vance
34,"(5, 1)",Weight Loss (Parts 1&2)," not almost, though, holly. i mean, not -- not close to 200... just, we'll just keep going. yes. yes. i have everything. tomorrow i start a three-month design program at the pratt institute in new york. i will be a little fish in the big apple. [does hand gesture] what up, 212? i should really get going. i'm sure it was really lovely. ok, bye. no, michael. i'm in the wrong class... oh, no. i just-- [on computer screen] i can see you! this is so cool. lunch with a girl from my hall. ceramics class. then dinner by myself. i'm gonna watch hgtv and maybe go to bungalow 8 with john mayer. can you put me down i'm getting a little nauseous? the nerve. they're on the supply shelf. new york is so exciting. i love my classes. the city's awesome. um, can you give me back to jim now, please? hi. [they kiss] mmm. 'cause-- [looks toward camera] what? really, where? wow, was it the age difference? hey! jim! um, listen, can i call you back in a little bit? i made friends! [to friend] nice. sorry. you've already disappointed him so much. he can't be expecting a lot from you. i... listen, umm, we're still good for this weekend, right? no football games, recitals, karate tournaments. ok. hey! this is not half-way! i did the math. i had to drive way longer than you. montclair would have been closer, so you have to buy lunch. what are you doing? oh my god! oh my god! yes! [they embrace and kiss]",5,1,1397," not almost, though, holly. i mean, not -- not close to 200... just, we'll just keep going. yes. yes. i have everything. tomorrow i start a three-month design program at the pratt institute in new york. i will be a little fish in the big apple. [does hand gesture] what up, 212? i should really get going. i'm sure it was really lovely. ok, bye. no, michael. i'm in the wrong class... oh, no. i just-- [on computer screen] i can see you! this is so cool. lunch with a girl from my hall. ceramics class. then dinner by myself. i'm gonna watch hgtv and maybe go to bungalow 8 with john mayer. can you put me down i'm getting a little nauseous? the nerve. they're on the supply shelf. new york is so exciting. i love my classes. the city's awesome. um, can you give me back to jim now, please? hi. [they kiss] mmm. 'cause-- [looks toward camera] what? really, where? wow, was it the age difference? hey! jim! um, listen, can i call you back in a little bit? i made friends! [to friend] nice. sorry. you've already disappointed him so much. he can't be expecting a lot from you. i... listen, umm, we're still good for this weekend, right? no football games, recitals, karate tournaments. ok. hey! this is not half-way! i did the math. i had to drive way longer than you. montclair would have been closer, so you have to buy lunch. what are you doing? oh my god! oh my god! yes! [they embrace and kiss]",holly tomorrow month design program pratt institute new york fish apple hand gesture michael class just-- computer screen lunch girl hall ceramic class dinner hgtv john mayer nerve supply shelf new york class city jim mmm cause-- camera age difference jim bit friend friend lot umm weekend football game recital karate tournament way math way montclair lunch
35,"(5, 9)",Frame Toby," [pours something from the fridge into a bowl and opens the microwave, it is covered in exploded food] oh, come on! [to the documentary crew] do you see this? disgusting. yeah. wait, what, the mess or the note? don't you think the person who left the mess is the obnoxious one? just because someone likes things clean, doesn't mean they're rich. when it comes down to it, it's a health issue. i should have written that. [looks up] why aren't you as mad or interested in this as me? are you inching away from me? reach your arms out. what do you need, michael? ""please hug and kiss me, no matter how hard i struggle. i'm too shy to tell you that i love you."" thank you. i know, can you believe it? i guess that's why we have a temp, huh? how would wiping it with a paper towel make it worse? you've seen things cleaned before though, right? i don't know anything about that. here? sure. [getting out of the car] what are we doing at your parent's house? i don't get it. i love it. yeah, i love it! i mean, you bought me a house! you bought me a house! um, do we have to sleep in your parent's bedroom? and the clown?",5,9,1116," [pours something from the fridge into a bowl and opens the microwave, it is covered in exploded food] oh, come on! [to the documentary crew] do you see this? disgusting. yeah. wait, what, the mess or the note? don't you think the person who left the mess is the obnoxious one? just because someone likes things clean, doesn't mean they're rich. when it comes down to it, it's a health issue. i should have written that. [looks up] why aren't you as mad or interested in this as me? are you inching away from me? reach your arms out. what do you need, michael? ""please hug and kiss me, no matter how hard i struggle. i'm too shy to tell you that i love you."" thank you. i know, can you believe it? i guess that's why we have a temp, huh? how would wiping it with a paper towel make it worse? you've seen things cleaned before though, right? i don't know anything about that. here? sure. [getting out of the car] what are we doing at your parent's house? i don't get it. i love it. yeah, i love it! i mean, you bought me a house! you bought me a house! um, do we have to sleep in your parent's bedroom? and the clown?",fridge bowl microwave food crew mess note person mess thing health issue arm michael temp paper towel thing car parent house house house parent bedroom clown
36,"(5, 28)",Company Picnic," [whispering] i can do it. you had to be there. yeah, we walk around, everyone sees our faces and we leave, right? okay. oh, don't get us wrong, we like picnics. tell them what happened last year. no, no, that guy who hit on me. yeah, you don't grab these [gestures to her chest] for balance. hey charles. do you want me to b*at him up for you? back off, dwight. [serves] hyuh! [the opposing team misses the ball, the scranton team cheers] what? maybe i played a little in junior high... and in high school... maybe a little in college... and went to volleyball camp most summers. [serves] hyuh! [other team misses and scranton cheers] well, look at that, we win! good game! how do you figure? let's do this. [running for the ball] i got it! [falls] oof! yep. no, no, no, i'm fine. yeah. no, no, it's fine. just gimme a second. look, seriously, i can move it fine. come on, let's go, it's our ball. let's go! we'll be back! how long will that take? i'm sorry, can we just hurry this up? i've got a game to get back to.",5,28,1018," [whispering] i can do it. you had to be there. yeah, we walk around, everyone sees our faces and we leave, right? okay. oh, don't get us wrong, we like picnics. tell them what happened last year. no, no, that guy who hit on me. yeah, you don't grab these [gestures to her chest] for balance. hey charles. do you want me to b*at him up for you? back off, dwight. [serves] hyuh! [the opposing team misses the ball, the scranton team cheers] what? maybe i played a little in junior high... and in high school... maybe a little in college... and went to volleyball camp most summers. [serves] hyuh! [other team misses and scranton cheers] well, look at that, we win! good game! how do you figure? let's do this. [running for the ball] i got it! [falls] oof! yep. no, no, no, i'm fine. yeah. no, no, it's fine. just gimme a second. look, seriously, i can move it fine. come on, let's go, it's our ball. let's go! we'll be back! how long will that take? i'm sorry, can we just hurry this up? i've got a game to get back to.",face picnic year guy gesture chest balance charles dwight serve hyuh team ball scranton team cheer high school college volleyball camp summer serve hyuh team miss scranton cheers game ball falls oof ball game
37,"(5, 24)",Heavy Competition," things are a little slow here. and there's only so much cold-calling you can do in a day. turns out there's no limit to the number of cheese puffs you can throw at someone's face. we're getting pretty good at it. the timeline's messy. i'm confused. am i walking down the aisle to 'you can call me al?' i don't know. it seems like a lot for an a cappella group from a college we never went to. mm-hmm. i'm not gonna do that. i'm here. i'm a part of this now. michael, are you alright? tell us what you're talking about. we can't help you if you don't just tell us what happened. michael! i spent a month putting that rolodex on his blackberry, which he now uses as a nightlight. [pam, ryan and michael enter office] sounds neat. oh my god, i think we've been robbed!",5,24,766," things are a little slow here. and there's only so much cold-calling you can do in a day. turns out there's no limit to the number of cheese puffs you can throw at someone's face. we're getting pretty good at it. the timeline's messy. i'm confused. am i walking down the aisle to 'you can call me al?' i don't know. it seems like a lot for an a cappella group from a college we never went to. mm-hmm. i'm not gonna do that. i'm here. i'm a part of this now. michael, are you alright? tell us what you're talking about. we can't help you if you don't just tell us what happened. michael! i spent a month putting that rolodex on his blackberry, which he now uses as a nightlight. [pam, ryan and michael enter office] sounds neat. oh my god, i think we've been robbed!",thing day limit number cheese puff face timeline messy aisle al lot cappella group college mm hmm michael michael month rolodex blackberry nightlight pam ryan michael office
38,"(5, 27)",Cafe Disco," not cool, dwight. [dwight continues laughing] oh, i can't do lunch. i was just sending you an email. jim and i need to leave early today to meet with our contractor. just sent it. if you don't take out his battery, he just keeps going all day. oh, no. your battery fell out. so someone is going to a court. big deal. we're getting married today. tell 'em how it happened. and very expensive. you can't leave anyone out. ok, just get to the good part. i had just woken up. i didn't look cute. that's how i knew he meant it. what? they're beautiful. yeah. this is so cheesy. i like cheesy. yeah. i think maybe i want a ""wedding"" wedding. really?",5,27,644," not cool, dwight. [dwight continues laughing] oh, i can't do lunch. i was just sending you an email. jim and i need to leave early today to meet with our contractor. just sent it. if you don't take out his battery, he just keeps going all day. oh, no. your battery fell out. so someone is going to a court. big deal. we're getting married today. tell 'em how it happened. and very expensive. you can't leave anyone out. ok, just get to the good part. i had just woken up. i didn't look cute. that's how i knew he meant it. what? they're beautiful. yeah. this is so cheesy. i like cheesy. yeah. i think maybe i want a ""wedding"" wedding. really?",dwight dwight lunch email jim today contractor battery day battery court deal today cheesy wedding wedding
39,"(5, 13)",Prince Family Paper," have you seen her with her bangs? [disapprovingly] kevin! ladies, are we prepared to let the kevins of the world decide anything for us? anything at all? we don't even give him full internet access. no, because... [dwight and michael walk in and march into michael's office, silencing the conversation] hillary swank.",5,13,318," have you seen her with her bangs? [disapprovingly] kevin! ladies, are we prepared to let the kevins of the world decide anything for us? anything at all? we don't even give him full internet access. no, because... [dwight and michael walk in and march into michael's office, silencing the conversation] hillary swank.",bang kevin lady kevin world internet access dwight michael michael office conversation hillary swank
40,"(5, 5)",Crime Aid," okay, thanks. new york, as it turns out, is very expensive, and i ran out of money. i thought about selling a kidney, but michael offered to get me a part-time job at corporate. hey. of course, now michael knows where to reach me 16 to 18 hours a week. hey michael.",5,5,266," okay, thanks. new york, as it turns out, is very expensive, and i ran out of money. i thought about selling a kidney, but michael offered to get me a part-time job at corporate. hey. of course, now michael knows where to reach me 16 to 18 hours a week. hey michael.",okay thank new york money kidney michael time job course michael hour week michael
41,"(5, 11)",Moroccan Christmas," i wish that you'd stop rubbing that lamp in that creepy way. i know. if she wasn't an alcoholic before, she is now. [jim laughs] i knew it. i knew some of it. it's christmas. thank you. i knew it.",5,11,197," i wish that you'd stop rubbing that lamp in that creepy way. i know. if she wasn't an alcoholic before, she is now. [jim laughs] i knew it. i knew some of it. it's christmas. thank you. i knew it.",lamp way alcoholic jim laughs christmas
42,"(6, 4)",Niagara (Parts 1&2)," i'm sorry. you guys have probably noticed my stomach's a little more sensitive lately. so, if you wouldn't mind wearing a little less perfume... and if your lunch is especially pungent, maybe have it in the break room? phyllis, if you could switch to a different soap, just for a month or two? yours is kind of perfumy. i don't think i'm asking for too much. i guess it's just the end of courtesy in the workplace. yeah, but aren't you supposed to do that to our... no. it's great. ok. all of these things are important to remember but the most important thing is no one say anything about my pregnancy at the wedding. well, we're thinking of my grandmother who we haven't told and is very old-fashioned. you know, angela, you don't have to come to the wedding. next time we're all in this room jim and i will be married. thank you, dwight. see you later. [others say good-bye] [in car] hey, my aunt told me something neat. she said everything with the wedding goes by so fast we should try to take mental pictures of the high points. yeah. oh. we should have hired a professional to take our mental pictures. can we take a look at the suite now? oh... is there another wedding at the hotel this weekend? i'm gonna need the name and cell phone number of the housekeeper responsible for changing the sheets, please. oh, mema? she's the one in the teal suit. she's the only 80 year old with no smile wrinkles. hey, mema. oh. thank you... but nobody's perfect. oscar, kevin, this is my sister, penny. she's also my maid of honor. oscar, it was an honest mistake. she has a boyfriend. he's out of town. like... a year. michael. michael. stop. mema. hey, smooth guys. mema's not coming to the wedding. she's leaving tomorrow morning. i was just going to go down to the hotel bar for a little bit. i just wanted to get out of my room for a little while. [sighs] nevermind. yeah. no. what? andy, i am getting married in 8 hours. [on the phone] hey, hey! where are you? can you take andy to the hospital? he tore his scrotum dancing. he is in my room icing his balls. please stop saying what. can you take him? your brothers took you out drinking? that's michael. you're out with michael? okay, fine. i'll take him. are you pushing me off the phone? goodbye. [hangs up phone] nope. i, like you, have never been here before. look, i'm not the one who asked you to do a split when you've never done one before. my job? my job is to get married in the morning. that's my job. andy, did i dream that you were crying through the night? thank you weirdo. okay, here i come. [walks out in her wedding dress] thanks mom. he does. yes. thank you, mom. okay great. [isabel kisses her cheek] yeah, i'll see you in a second. [pauses] wait, what? [tries to follow, but veil gets caught on wall and tears] oh! oh no! can you come here please? no. no, but i'm allowing it. just come here. hey. terrible. my veil tore. i knew when we were getting married and i'm five months pregnant that i'm not going to be able to wear the dress that i always wanted or high heels-- [sighs] thank you. no, this was the one thing i was supposed to be able to control, was this veil and-- [jim cuts off half his tie] [sighs] everyone's driving me crazy. i know way too much about andy's scrotum. [jim chuckles] and my mom won't stop freaking out about my dad's new girlfriend. [sighs] this is supposed to be our wedding day. why did we invite all these people? you look great. mm-hmm. yes i did. [smiles] go ahead. i think it's your turn. yeah, i'm okay. saw it.",6,4,3523," i'm sorry. you guys have probably noticed my stomach's a little more sensitive lately. so, if you wouldn't mind wearing a little less perfume... and if your lunch is especially pungent, maybe have it in the break room? phyllis, if you could switch to a different soap, just for a month or two? yours is kind of perfumy. i don't think i'm asking for too much. i guess it's just the end of courtesy in the workplace. yeah, but aren't you supposed to do that to our... no. it's great. ok. all of these things are important to remember but the most important thing is no one say anything about my pregnancy at the wedding. well, we're thinking of my grandmother who we haven't told and is very old-fashioned. you know, angela, you don't have to come to the wedding. next time we're all in this room jim and i will be married. thank you, dwight. see you later. [others say good-bye] [in car] hey, my aunt told me something neat. she said everything with the wedding goes by so fast we should try to take mental pictures of the high points. yeah. oh. we should have hired a professional to take our mental pictures. can we take a look at the suite now? oh... is there another wedding at the hotel this weekend? i'm gonna need the name and cell phone number of the housekeeper responsible for changing the sheets, please. oh, mema? she's the one in the teal suit. she's the only 80 year old with no smile wrinkles. hey, mema. oh. thank you... but nobody's perfect. oscar, kevin, this is my sister, penny. she's also my maid of honor. oscar, it was an honest mistake. she has a boyfriend. he's out of town. like... a year. michael. michael. stop. mema. hey, smooth guys. mema's not coming to the wedding. she's leaving tomorrow morning. i was just going to go down to the hotel bar for a little bit. i just wanted to get out of my room for a little while. [sighs] nevermind. yeah. no. what? andy, i am getting married in 8 hours. [on the phone] hey, hey! where are you? can you take andy to the hospital? he tore his scrotum dancing. he is in my room icing his balls. please stop saying what. can you take him? your brothers took you out drinking? that's michael. you're out with michael? okay, fine. i'll take him. are you pushing me off the phone? goodbye. [hangs up phone] nope. i, like you, have never been here before. look, i'm not the one who asked you to do a split when you've never done one before. my job? my job is to get married in the morning. that's my job. andy, did i dream that you were crying through the night? thank you weirdo. okay, here i come. [walks out in her wedding dress] thanks mom. he does. yes. thank you, mom. okay great. [isabel kisses her cheek] yeah, i'll see you in a second. [pauses] wait, what? [tries to follow, but veil gets caught on wall and tears] oh! oh no! can you come here please? no. no, but i'm allowing it. just come here. hey. terrible. my veil tore. i knew when we were getting married and i'm five months pregnant that i'm not going to be able to wear the dress that i always wanted or high heels-- [sighs] thank you. no, this was the one thing i was supposed to be able to control, was this veil and-- [jim cuts off half his tie] [sighs] everyone's driving me crazy. i know way too much about andy's scrotum. [jim chuckles] and my mom won't stop freaking out about my dad's new girlfriend. [sighs] this is supposed to be our wedding day. why did we invite all these people? you look great. mm-hmm. yes i did. [smiles] go ahead. i think it's your turn. yeah, i'm okay. saw it.",guy stomach perfume lunch break room phyllis soap month perfumy end courtesy workplace thing thing pregnancy wedding grandmom angela wedding time room jim dwight bye car aunt wedding picture point professional picture look suite wedding hotel weekend cell phone number housekeeper sheet mema teal suit year smile wrinkle mema oscar kevin sister penny maid honor mistake boyfriend town year michael michael mema guy mema wedding tomorrow morning hotel bar bit room sigh andy hour phone andy hospital scrotum room ball brother michael michael phone phone nope split job job morning job andy night weirdo wedding dress thank mom mom isabel cheek pause try veil wall tear veil tore month dress heels-- sigh thing jim tie sigh way andy scrotum jim chuckles mom dad girlfriend sigh wedding day people mm hmm smile turn
43,"(6, 7)",The Lover," it really was. oh my gosh. the honeymoon was great. we met this other couple at the resort, frank and benny. we hung out with them a lot. [goofy voice] frank and beans! hi, michael. some candy. that's it. it's good to be home. hey! uh, we brought back some puerto rican candy. awesome! i'll leave it up here so everyone can enjoy it. [laughs] i think it'll be okay. great. frank and beans! [both laugh] so what'd we decide for michael, the bottle of rum, or the seashell alarm clock? bottle of rum it is. [takes package out of bag] alright, shall we? come on, it'll take two seconds. [giggles] wow, botticelli's, that sounds like a special occasion. [laughs] i don't know. i think michael has a date. [laughs] i think you have a date. come on. oh, that's too bad. yeah, but i mean, if you really like this person, then you should see where it goes. of course. oh. oh! gossip, who is it? who is it? who is it, michael? ...who? no, no, no, no, no. oh, no. oh, my god! oh, my god! nooooo! [screams out in the parking lot, michael watches from his office window] [outside, on cell phone] how could you do this to me? he's my boss! how many times have i complained about him to you? no, i am not being dramatic, you are being crazy! thank you. you need to be more upset about this. she's your mother too now. your mother is sleeping with michael scott. haha! ha ha ha. i have a way to make scranton a better place, you could leave it. [laughter] i love it, conservation. let's start by conserving our time and stop having these stupid meetings. [stands up and cheers] no more meetings! no more meetings! no more meetings! no more meetings! [stanley cheers her on in the background] i'm not apologizing to anyone. michael owes me an apology. don't call my mother your lover. yes! thank you, welcome to my personal hell! shut up oscar. what is wrong with all of you, he is sleeping with my mother! whatever, you know, sleep with my mom, sleep with everybody's mom... uhh, huh, ho... oooh my god, you are ridiculous! you are never going to be my father, you get out! me too... hey. [walks up to oscar and hands him a report to sign] oh, well, thanks oscar. i was just wondering how would you feel if michael was sleeping with your mom? well, he could still... i'm sorry about that... oh could i just get you to sign this second page. sure, what's up? [to michael] what's the matter, you can't fight your own battles? [to michael] oh, would that make you feel better? you can tell michael that i'm not leaving. michael, you're just her rebound! [to jim] what! you knew? mmmmm, yes! then why'd you even offer!? michael, let me make this very easy for you, i could give a sh[beep] about your happiness! stop dating my mother! what's that supposed to mean? shut it! [looking out the window at dwight washing the car] awww, he did that for me? mmmm. haha, yeah. say more nice things. maybe i'm overreacting. but i don't think i am.",6,7,2919," it really was. oh my gosh. the honeymoon was great. we met this other couple at the resort, frank and benny. we hung out with them a lot. [goofy voice] frank and beans! hi, michael. some candy. that's it. it's good to be home. hey! uh, we brought back some puerto rican candy. awesome! i'll leave it up here so everyone can enjoy it. [laughs] i think it'll be okay. great. frank and beans! [both laugh] so what'd we decide for michael, the bottle of rum, or the seashell alarm clock? bottle of rum it is. [takes package out of bag] alright, shall we? come on, it'll take two seconds. [giggles] wow, botticelli's, that sounds like a special occasion. [laughs] i don't know. i think michael has a date. [laughs] i think you have a date. come on. oh, that's too bad. yeah, but i mean, if you really like this person, then you should see where it goes. of course. oh. oh! gossip, who is it? who is it? who is it, michael? ...who? no, no, no, no, no. oh, no. oh, my god! oh, my god! nooooo! [screams out in the parking lot, michael watches from his office window] [outside, on cell phone] how could you do this to me? he's my boss! how many times have i complained about him to you? no, i am not being dramatic, you are being crazy! thank you. you need to be more upset about this. she's your mother too now. your mother is sleeping with michael scott. haha! ha ha ha. i have a way to make scranton a better place, you could leave it. [laughter] i love it, conservation. let's start by conserving our time and stop having these stupid meetings. [stands up and cheers] no more meetings! no more meetings! no more meetings! no more meetings! [stanley cheers her on in the background] i'm not apologizing to anyone. michael owes me an apology. don't call my mother your lover. yes! thank you, welcome to my personal hell! shut up oscar. what is wrong with all of you, he is sleeping with my mother! whatever, you know, sleep with my mom, sleep with everybody's mom... uhh, huh, ho... oooh my god, you are ridiculous! you are never going to be my father, you get out! me too... hey. [walks up to oscar and hands him a report to sign] oh, well, thanks oscar. i was just wondering how would you feel if michael was sleeping with your mom? well, he could still... i'm sorry about that... oh could i just get you to sign this second page. sure, what's up? [to michael] what's the matter, you can't fight your own battles? [to michael] oh, would that make you feel better? you can tell michael that i'm not leaving. michael, you're just her rebound! [to jim] what! you knew? mmmmm, yes! then why'd you even offer!? michael, let me make this very easy for you, i could give a sh[beep] about your happiness! stop dating my mother! what's that supposed to mean? shut it! [looking out the window at dwight washing the car] awww, he did that for me? mmmm. haha, yeah. say more nice things. maybe i'm overreacting. but i don't think i am.",honeymoon couple resort benny lot goofy voice frank bean michael candy candy laughs frank bean michael bottle rum seashell alarm clock bottle rum package bag second giggles wow botticelli occasion laughs michael date laughs date person course gossip michael nooooo parking lot michael office window cell phone boss time mom mom michael scott haha way scranton place laughter conservation time meeting cheer meeting meeting meeting meeting stanley background michael apology mom lover hell oscar mom mom mom uhh ho oooh father oscar report thank michael mom page michael matter battle michael michael michael rebound jim mmmmm michael sh[beep happiness mom window dwight car awww mmmm haha thing
